Rule 5:
If child ?b, then successor ?b.
Louis XIV, Louis XIV has child Louise Marie Anne de Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Jacquetta of Luxembourg, Jacquetta of Luxembourg has child Lionel Woodville The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Theobald I of Navarre has successor Theobald II of Navarre, Theobald I of Navarre has child Theobald II of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has child Maria Clotilde of Naples and Sicily The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Duke of Vend me, Charles Duke of Vend me has child John Count of Soissons and Enghien The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Amalia of Saxony has child Ferdinand I of the Two Sicilies The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Amalia of Naples and Sicily, Maria Amalia of Naples and Sicily has child Prince Louis Duke of Nemours The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Archduchess Anna of Austria, Archduchess Anna of Austria has child William V Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary of Hungary Queen of Naples, Mary of Hungary Queen of Naples has child Charles Martel of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Duke of Orl ans, Charles Duke of Orl ans has child Joan of Valois Duchess of Alen on The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis II Duke of Lorraine, Francis II Duke of Lorraine has child Nicholas Francis Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Frederick Prince of Wales, Frederick Prince of Wales has child Prince William Henry Duke of Gloucester and Edinburgh The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John I of Portugal, John I of Portugal has child Ferdinand the Holy Prince The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has child Otto V Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Emmanuel I Duke of Savoy, Charles Emmanuel I Duke of Savoy has child Thomas Francis Prince of Carignano The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Antoine Duke of Lorraine, Antoine Duke of Lorraine has child Francis I Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth Christine of Brunswic Wolfenb ttel, Elisabeth Christine of Brunswic Wolfenb ttel has child Maria Theresa The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has child Prince Carlo Francesco Duke of Aosta The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Saint Margaret of Scotland, Saint Margaret of Scotland has child Ethelred of Scotland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso VII of Le n and Castile has successor Ferdinand II of Le n, Alfonso VII of Le n and Castile has child Ferdinand II of Le n The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Elisabeth of Nuremberg, Elisabeth of Nuremberg has child Margaret of the Palatinate The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
James II of Scotland, James II of Scotland has child David Stewart Earl of Moray The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles the Bald, Charles the Bald has child Rothilde The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert II Duke of Burgundy, Robert II Duke of Burgundy has child Joan the Lame The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
 thelwulf King of Wessex has successor  thelbald King of Wessex,  thelwulf King of Wessex has child  thelbald King of Wessex The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Maria Christina of the Two Sicilies, Maria Christina of the Two Sicilies has child Infanta Luisa Fernanda Duchess of Montpensier The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa of Naples and Sicily, Maria Theresa of Naples and Sicily has child Archduchess Marie Caroline of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne of Cyprus, Anne of Cyprus has child Louis of Cyprus The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Duke of Savoy, Louis Duke of Savoy has child Louis of Cyprus The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV, Louis Dauphin of France son of Louis XV has child Clotilde of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Wilhelmine Amalie of Brunswick, Wilhelmine Amalie of Brunswick has child Maria Amalia Holy Roman Empress The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Constance of Castile, Constance of Castile has child Margaret of France Queen of England and Hungary The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles VI of France, Charles VI of France has child Isabella of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Jacquetta of Luxembourg, Jacquetta of Luxembourg has child Richard Woodville 3rd Earl Rivers The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie de Medici, Marie de Medici has child Elisabeth of France 1602 1644 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie of France Duchess of Bar, Marie of France Duchess of Bar has child Violant of Bar The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso XI of Castile, Alfonso XI of Castile has child Henry II of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has child Lucrezia de Medici Duchess of Ferrara The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan of Valois Countess of Hainaut, Joan of Valois Countess of Hainaut has child William II Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Richeza of Poland Queen of Sweden, Richeza of Poland Queen of Sweden has child Sophia of Minsk The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Brieg, Margaret of Brieg has child Margaret of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Christine of Saxony, Christine of Saxony has child William IV Landgrave of Hesse Kassel The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV, Louis Dauphin of France son of Louis XV has child Louis XVI The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France, Maria Josepha of Saxony Dauphine of France has child Louis XVI The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Agatha wife of Edward the Exile, Agatha wife of Edward the Exile has child Edgar  theling The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Christine of Saxony, Christine of Saxony has child Louis IV Landgrave of Hesse Marburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John King of England, John King of England has child Richard FitzRoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth the Cuman, Elizabeth the Cuman has child Elizabeth of Hungary Queen of Serbia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John IV Duke of Brittany, John IV Duke of Brittany has child Richard Count of  tampes The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adolphus Frederick II Duke of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has child Duchess Gustave Caroline of Mecklenburg Strelitz The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry the Fowler, Henry the Fowler has child Gerberga of Saxony The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry VI Count of Luxembourg has successor Henry VII Holy Roman Emperor, Henry VI Count of Luxembourg has child Henry VII Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Elisabeth Farnese, Elisabeth Farnese has child Philip Duke of Parma The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth of Meissen, Elisabeth of Meissen has child Frederick I Elector of Brandenburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charlotte of Mecklenburg Strelitz, Charlotte of Mecklenburg Strelitz has child Princess Sophia of the United Kingdom The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George III, George III has child Princess Sophia of the United Kingdom The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Afonso II of Portugal, Afonso II of Portugal has child Fernando Lord of Serpa The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Peter I of Portugal, Peter I of Portugal has child Maria of Portugal Marchioness of Tortosa The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Martel, Charles Martel has child Grifo noble The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charlotte of Mecklenburg Strelitz, Charlotte of Mecklenburg Strelitz has child Prince Edward Duke of Kent and Strathearn The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ingegerd Olofsdotter of Sweden, Ingegerd Olofsdotter of Sweden has child Anastasia of Kiev The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie of Anjou, Marie of Anjou has child Joan of France Duchess of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles VII of France, Charles VII of France has child Joan of France Duchess of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry VII Holy Roman Emperor has successor John of Bohemia, Henry VII Holy Roman Emperor has child John of Bohemia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Ferdinand III of Castile, Ferdinand III of Castile has child Frederick of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IX of France, Louis IX of France has child Isabella of France Queen of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Provence, Margaret of Provence has child Isabella of France Queen of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary of Hungary Queen of Naples, Mary of Hungary Queen of Naples has child Margaret Countess of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Carolina of Austria, Maria Carolina of Austria has child Prince Gennaro of Naples and Sicily The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has child Sophie of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ren  II Duke of Lorraine, Ren  II Duke of Lorraine has child Jean Cardinal of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Saint Margaret of Scotland, Saint Margaret of Scotland has child Edmund of Scotland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George II of Great Britain, George II of Great Britain has child Princess Amelia of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Fulk IV Count of Anjou, Fulk IV Count of Anjou has child Geoffrey IV Count of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Prince Philippe Count of Paris, Prince Philippe Count of Paris has child Princess Isabelle of Orl ans 1878 1961 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth of Nuremberg, Elisabeth of Nuremberg has child Louis III Elector Palatine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Leopold Duke of Lorraine has successor Francis I Holy Roman Emperor, Leopold Duke of Lorraine has child Francis I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Albert I of Germany, Albert I of Germany has child Frederick the Fair The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anna Maria of Mecklenburg Schwerin, Anna Maria of Mecklenburg Schwerin has child Heinrich of Saxe Weissenfels Count of Barby The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George II of Great Britain, George II of Great Britain has child Princess Mary of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
