Rule 7:
If child ?a, then predecessor ?b.
Joan of France Duchess of Bourbon, Marie of Anjou has child Joan of France Duchess of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joan of France Duchess of Bourbon, Charles VII of France has child Joan of France Duchess of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John of Bohemia has predecessor Henry VII Holy Roman Emperor, Henry VII Holy Roman Emperor has child John of Bohemia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Frederick of Castile, Ferdinand III of Castile has child Frederick of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella of France Queen of Navarre, Louis IX of France has child Isabella of France Queen of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella of France Queen of Navarre, Margaret of Provence has child Isabella of France Queen of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret Countess of Anjou, Mary of Hungary Queen of Naples has child Margaret Countess of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Gennaro of Naples and Sicily, Maria Carolina of Austria has child Prince Gennaro of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sophie of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has child Sophie of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Jean Cardinal of Lorraine, Ren  II Duke of Lorraine has child Jean Cardinal of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edmund of Scotland, Saint Margaret of Scotland has child Edmund of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Amelia of Great Britain, George II of Great Britain has child Princess Amelia of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Geoffrey IV Count of Anjou, Fulk IV Count of Anjou has child Geoffrey IV Count of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Isabelle of Orl ans 1878 1961, Prince Philippe Count of Paris has child Princess Isabelle of Orl ans 1878 1961. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis III Elector Palatine, Elisabeth of Nuremberg has child Louis III Elector Palatine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Leopold Duke of Lorraine has child Francis I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Frederick the Fair, Albert I of Germany has child Frederick the Fair. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Heinrich of Saxe Weissenfels Count of Barby, Anna Maria of Mecklenburg Schwerin has child Heinrich of Saxe Weissenfels Count of Barby. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Mary of Great Britain, George II of Great Britain has child Princess Mary of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Walter Stewart Lord of Fife, Robert II of Scotland has child Walter Stewart Lord of Fife. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret I Countess of Flanders, Sibylla of Anjou has child Margaret I Countess of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince John August of Saxe Gotha Altenburg, Princess Magdalena Augusta of Anhalt Zerbst has child Prince John August of Saxe Gotha Altenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Duke of Durazzo, Mary of Hungary Queen of Naples has child John Duke of Durazzo. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor, Anne of Bohemia and Hungary has child Maximilian II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Renata of Lorraine, Francis I Duke of Lorraine has child Renata of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joanna of Bavaria, Margaret of Brieg has child Joanna of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Bianca Maria Sforza, Bona of Savoy has child Bianca Maria Sforza. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Magdalene Sibylle of Prussia, Marie Eleonore of Cleves has child Magdalene Sibylle of Prussia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Martim Afonso Chichorro, Afonso III of Portugal has child Martim Afonso Chichorro. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hedwig of Saxony, Henry the Fowler has child Hedwig of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis II of Hungary, Anne of Foix Candale has child Louis II of Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip I Count of Boulogne, Philip II of France has child Philip I Count of Boulogne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Denis of Portugal has predecessor Afonso III of Portugal, Afonso III of Portugal has child Denis of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
J r me Bonaparte, Letizia Bonaparte has child J r me Bonaparte. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Amelia of the United Kingdom, Charlotte of Mecklenburg Strelitz has child Princess Amelia of the United Kingdom. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Amelia of the United Kingdom, George III has child Princess Amelia of the United Kingdom. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Maria Fortunata d Este, Charlotte Agla  d Orl ans has child Princess Maria Fortunata d Este. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Diego Prince of Asturias, Philip II of Spain has child Diego Prince of Asturias. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sancha Raim ndez, Raymond of Burgundy has child Sancha Raim ndez. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
 thelfl d, Alfred the Great has child  thelfl d. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry King of Portugal, Maria of Aragon Queen of Portugal has child Henry King of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry son of Edward I, Edward I of England has child Henry son of Edward I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
 thelweard son of Alfred, Alfred the Great has child  thelweard son of Alfred. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Mary Stewart Countess of Buchan, James I of Scotland has child Mary Stewart Countess of Buchan. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Hereditary Prince of Saxony, Barbara Jagiellon has child John Hereditary Prince of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henri d Orl ans Duke of Aumale, Maria Amalia of Naples and Sicily has child Henri d Orl ans Duke of Aumale. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Theresa of Austria 1767 1827, Leopold II Holy Roman Emperor has child Maria Theresa of Austria 1767 1827. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Izyaslav of Polotsk, Vladimir the Great has child Izyaslav of Polotsk. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Carolina of Austria stillborn 1748, Francis I Holy Roman Emperor has child Archduchess Maria Carolina of Austria stillborn 1748. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Duarte Duke of Guimar es 1515 1540, Maria of Aragon Queen of Portugal has child Duarte Duke of Guimar es 1515 1540. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Mafalda of Portugal, Sancho I of Portugal has child Mafalda of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand I of Portugal has predecessor Peter I of Portugal, Peter I of Portugal has child Ferdinand I of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Henry of Bar, Marie of France Duchess of Bar has child Henry of Bar. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles of Austria Bishop of Wroclaw, Maria Anna of Bavaria born 1551 has child Charles of Austria Bishop of Wroclaw. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Josepha of Austria has child Maria Amalia of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Leopold Prince of Salerno, Maria Carolina of Austria has child Leopold Prince of Salerno. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Mary Queen of Scots has predecessor James V of Scotland, James V of Scotland has child Mary Queen of Scots. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Louis VII of France, Adelaide of Maurienne has child Louis VII of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Marie of Orl ans 1813 1839, Maria Amalia of Naples and Sicily has child Princess Marie of Orl ans 1813 1839. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Leopold Count of Syracuse, Mar a Isabella of Spain has child Prince Leopold Count of Syracuse. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis of Toulouse, Mary of Hungary Queen of Naples has child Louis of Toulouse. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Vittoria of Savoy, Victor Amadeus II of Sardinia has child Maria Vittoria of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Rudolf II Holy Roman Emperor, Maria of Austria Holy Roman Empress has child Rudolf II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Rudolf II Holy Roman Emperor has predecessor Maximilian II Holy Roman Emperor, Maximilian II Holy Roman Emperor has child Rudolf II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Charles II of England, Henrietta Maria has child Charles II of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Fran ois d Orl ans Prince of Joinville, Maria Amalia of Naples and Sicily has child Fran ois d Orl ans Prince of Joinville. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John of Charolais, Robert Count of Clermont has child John of Charolais. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip III of Navarre, Louis Count of  vreux has child Philip III of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Virginia de Medici, Cosimo I de Medici Grand Duke of Tuscany has child Virginia de Medici. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Jehan de Braine, Robert II Count of Dreux has child Jehan de Braine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ernest II Duke of Brunswic L neburg has predecessor William the Younger Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has child Ernest II Duke of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Isabella Duchess of Lorraine, Margaret of the Palatinate has child Isabella Duchess of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Karl Ambrosius of Austria Este, Maria Beatrice d Este Duchess of Massa has child Archduke Karl Ambrosius of Austria Este. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Antonio Count of Lecce, Mar a Isabella of Spain has child Prince Antonio Count of Lecce. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Magdalena of Saxony, Barbara Jagiellon has child Magdalena of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Navarre has predecessor John II of Aragon, John II of Aragon has child Eleanor of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Natalia Alexeievna Wilhelmina Louisa of Hesse Darmstadt, Countess Palatine Caroline of Zweibr cken has child Natalia Alexeievna Wilhelmina Louisa of Hesse Darmstadt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anna of Hungary Byzantine empress, Elizabeth the Cuman has child Anna of Hungary Byzantine empress. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Robert Stewart Duke of Albany, Robert II of Scotland has child Robert Stewart Duke of Albany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella of Valois Duchess of Bourbon, Charles Count of Valois has child Isabella of Valois Duchess of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabelle Duchess of Brittany, Margaret Countess of Anjou has child Isabelle Duchess of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
